Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
C1,0402_C,110.693mm,62.103mm,110.7mm,62.103mm,110.275mm,62.103mm,T,0,100nF (104) 10% 16V
U1,STM-LQFP64_M,100.838mm,65.024mm,100.838mm,65.024mm,97.088mm,59.424mm,T,90,STM32F205RET6
Q1,SOT-23(SOT-23-3),95.199mm,52.959mm,95.377mm,52.959mm,94.127mm,53.909mm,T,180,SS8050 Y1
Y1,SMD-3225_4P,99.924mm,55.169mm,99.911mm,55.161mm,100.711mm,54.061mm,T,90,12MHZ 20PF 10PPM
U2,0603_C,109.22mm,76.962mm,109.22mm,76.098mm,109.22mm,76.098mm,T,90,FUSE
Rp3,0402_Rx4,108.255mm,51.054mm,108.242mm,51.073mm,107.442mm,50.673mm,T,0,33次 (330) ㊣5%
Rp1,0402_Rx4,99.72mm,51.054mm,99.699mm,51.073mm,100.499mm,51.473mm,T,0,33次 (330) ㊣5%
Rp2,0402_Rx4,105.029mm,53.467mm,105.029mm,53.467mm,105.829mm,53.867mm,T,0,33次 (330) ㊣5%
Rp4,0402_Rx4,107.442mm,56.337mm,107.442mm,56.323mm,106.642mm,55.923mm,T,0,10K次 (103) ㊣5%
R10,0402_R,110.363mm,52.197mm,110.363mm,52.197mm,110.363mm,51.772mm,T,90,10K次 (1002) ㊣1%
R12,0402_R,99.187mm,74.219mm,99.187mm,74.212mm,99.187mm,74.637mm,T,270,22次 (22R0) ㊣1%
R9,0402_R,110.363mm,50.038mm,110.363mm,50.038mm,110.363mm,49.613mm,T,90,10K次 (1002) ㊣1%
R11,0402_R,100.457mm,74.219mm,100.457mm,74.212mm,100.457mm,74.637mm,T,270,22次 (22R0) ㊣1%
R8,0402_R,107.061mm,53.467mm,107.061mm,53.467mm,107.061mm,53.042mm,T,90,10K次 (1002) ㊣1%
R6,0402_R,106.172mm,51.054mm,106.172mm,51.054mm,106.172mm,51.479mm,T,270,10K次 (1002) ㊣1%
R3,0402_R,101.727mm,51.054mm,101.735mm,51.054mm,101.735mm,51.479mm,T,270,220K次 (2203) ㊣1%
R5,0402_R,102.997mm,53.467mm,102.997mm,53.467mm,102.997mm,53.892mm,T,270,10K次 (1002) ㊣1%
R4,0402_R,97.663mm,51.054mm,97.671mm,51.054mm,97.671mm,51.479mm,T,270,10K次 (1002) ㊣1%
R13,0402_R,110.642mm,64.262mm,110.661mm,64.262mm,111.086mm,64.262mm,T,180,220次 (2200) ㊣1%
R7,0402_R,94.742mm,78.486mm,94.742mm,78.486mm,94.742mm,78.911mm,T,270,1K次 (1001) ㊣1%
R14,0402_R,105.41mm,74.549mm,105.41mm,74.549mm,105.41mm,74.974mm,T,270,10K次 (1002) ㊣1%
R2,0402_R,105.385mm,56.286mm,105.372mm,56.304mm,105.372mm,56.729mm,T,270,10K次 (1002) ㊣1%
R1,0402_R,94.361mm,56.261mm,94.361mm,56.261mm,94.361mm,56.686mm,T,270,10K次 (1002) ㊣1%
P3,MICRO_USB,102.718mm,78.943mm,102.718mm,76.81mm,104.018mm,76.81mm,T,180,USB-5P
P1,HDR1X4_SMD,95.631mm,66.548mm,95.631mm,70.358mm,95.631mm,70.358mm,B,90,Header 4
P2,HDR2X5_2.54_180H,102.743mm,47.371mm,107.823mm,47.371mm,107.823mm,47.371mm,T,270,Header 5X2
IC1,SOT23-5L,109.728mm,71.374mm,109.728mm,71.374mm,111.128mm,70.424mm,T,90,XC6204B332MR
D2,SOD-323,110.871mm,77.343mm,110.871mm,77.343mm,110.871mm,78.765mm,T,90,1N5819
D1,0603_LED_S1,96.393mm,77.978mm,96.393mm,77.978mm,,,T,90,綻腑 0603
D3,0603_LED_S1,110.109mm,65.786mm,110.109mm,65.786mm,,,T,360,懦腑 0603
C15,0402_C,108.585mm,74.168mm,108.585mm,74.168mm,109.01mm,74.168mm,T,180,103
C14,0402_C,110.642mm,74.168mm,110.661mm,74.168mm,110.236mm,74.168mm,T,360,10uF (106) 20% 6.3V
C13,0402_C,94.742mm,74.803mm,94.742mm,74.803mm,94.742mm,75.228mm,T,270,100nF (104) 10% 16V
C12,0402_C,106.807mm,74.549mm,106.807mm,74.549mm,106.807mm,74.974mm,T,270,100nF (104) 10% 16V
C11,0402_C,110.642mm,68.834mm,110.661mm,68.834mm,111.086mm,68.834mm,T,180,100nF (104) 10% 16V
C8,0402_C,110.693mm,60.706mm,110.7mm,60.706mm,111.125mm,60.706mm,T,180,100nF (104) 10% 16V
C7,0603_C,110.109mm,67.437mm,110.109mm,67.437mm,110.879mm,67.437mm,T,180,2.2uF (225) 10% 16V
C6,0402_C,95.885mm,56.261mm,95.885mm,56.261mm,95.885mm,55.836mm,T,90,100nF (104) 10% 16V
C5,0603_C,97.663mm,74.295mm,97.663mm,74.295mm,97.663mm,73.525mm,T,90,2.2uF (225) 10% 16V
C4,0402_C,96.139mm,74.803mm,96.139mm,74.803mm,96.139mm,74.378mm,T,90,100nF (104) 10% 16V
C3,0402_C,110.363mm,47.879mm,110.363mm,47.879mm,110.363mm,47.454mm,T,90,100nF (104) 10% 16V
C2,0402_C,103.988mm,56.286mm,103.975mm,56.304mm,103.975mm,55.879mm,T,90,100nF (104) 10% 16V
C10,0402_C,97.257mm,56.286mm,97.244mm,56.304mm,97.244mm,55.879mm,T,90,20pF (200) 5% 50V
C9,0402_C,102.591mm,56.261mm,102.578mm,56.26mm,102.578mm,56.685mm,T,270,20pF (200) 5% 50V
